post_id,title,category,score,num_comments,author,url,collected_at,engagement,is_popular
12345030,Breaking the console: a brief history of video gam,sports,95,19,user30,https://example.com/30,2026-04-10 12:00:00.000000,0.19791666666666666,False
12345031,AI deep learning model breakthrough,technology,280,65,user31,https://example.com/31,2026-04-10 12:00:00.000000,0.2313167259786477,True
12345032,New cloud computing platform announcement,technology,195,48,user32,https://example.com/32,2026-04-10 12:00:00.000000,0.24489795918367346,True
12345033,Software development best practices 2026,technology,220,55,user33,https://example.com/33,2026-04-10 12:00:00.000000,0.248868778280543,True
12345034,Computer hardware performance test results,technology,165,40,user34,https://example.com/34,2026-04-10 12:00:00.000000,0.24096385542168675,True
12345035,Data science tutorial for beginners,technology,140,32,user35,https://example.com/35,2026-04-10 12:00:00.000000,0.22695035460992907,False
12345036,API design patterns and best practices,technology,155,36,user36,https://example.com/36,2026-04-10 12:00:00.000000,0.23076923076923078,False
12345037,GPU computing for machine learning,technology,190,45,user37,https://example.com/37,2026-04-10 12:00:00.000000,0.2356020942408377,True
12345038,Large language model applications revealed,technology,310,75,user38,https://example.com/38,2026-04-10 12:00:00.000000,0.24115755627009647,True
12345039,Show HN: Code editor with AI integration,technology,135,28,user39,https://example.com/39,2026-04-10 12:00:00.000000,0.20588235294117646,False
12345040,Tech company layoffs continue in 2026,technology,220,58,user40,https://example.com/40,2026-04-10 12:00:00.000000,0.26244343891402716,True
12345041,World government summit on global climate change,worldnews,175,42,user41,https://example.com/41,2026-04-10 12:00:00.000000,0.23863636363636365,True
12345042,Election results from major countries announced,worldnews,210,51,user42,https://example.com/42,2026-04-10 12:00:00.000000,0.24170616113744076,True
12345043,President meets with international leaders,worldnews,165,39,user43,https://example.com/43,2026-04-10 12:00:00.000000,0.23493975903614459,True
12345044,Global attack on infrastructure prevented,worldnews,240,60,user44,https://example.com/44,2026-04-10 12:00:00.000000,0.24896265560165975,True
12345045,Country announces new government policies,worldnews,185,46,user45,https://example.com/45,2026-04-10 12:00:00.000000,0.24731182795698925,True
12345046,International peace talks begin tomorrow,worldnews,195,49,user46,https://example.com/46,2026-04-10 12:00:00.000000,0.25,True
12345047,War updates from multiple conflict zones,worldnews,220,54,user47,https://example.com/47,2026-04-10 12:00:00.000000,0.24434389140271492,True
12345048,Super Bowl final game winner declared,sports,280,70,user48,https://example.com/48,2026-04-10 12:00:00.000000,0.2491103202846975,True
12345049,NBA championship series begins this week,sports,250,62,user49,https://example.com/49,2026-04-10 12:00:00.000000,0.24701195219123506,True
12345050,FIFA world cup draws announced today,sports,235,58,user50,https://example.com/50,2026-04-10 12:00:00.000000,0.2457627118644068,True
12345051,Sport player wins championship medal award,sports,180,44,user51,https://example.com/51,2026-04-10 12:00:00.000000,0.2430939226519337,True
12345052,Team wins league championship title final,sports,200,50,user52,https://example.com/52,2026-04-10 12:00:00.000000,0.24875621890547264,True
12345053,New research study results announced today,science,165,40,user53,https://example.com/53,2026-04-10 12:00:00.000000,0.24096385542168675,True
12345054,Space exploration mission successful launch,science,210,52,user54,https://example.com/54,2026-04-10 12:00:00.000000,0.24644549763033174,True
12345055,Physics breakthrough in quantum computing,science,195,48,user55,https://example.com/55,2026-04-10 12:00:00.000000,0.24489795918367346,True
12345056,Biology discovery reveals new organism,science,175,42,user56,https://example.com/56,2026-04-10 12:00:00.000000,0.23863636363636365,True
12345057,NASA launches new exploration rover mission,science,225,56,user57,https://example.com/57,2026-04-10 12:00:00.000000,0.24778761061946902,True
12345058,Genome sequencing technology improved greatly,science,185,45,user58,https://example.com/58,2026-04-10 12:00:00.000000,0.24193548387096775,True
12345059,Movie blockbuster breaks box office records,entertainment,190,47,user59,https://example.com/59,2026-04-10 12:00:00.000000,0.24607329842931938,True
12345060,Film director wins best achievement award,entertainment,155,36,user60,https://example.com/60,2026-04-10 12:00:00.000000,0.23076923076923078,False
12345061,Music artist releases new album streaming,entertainment,170,41,user61,https://example.com/61,2026-04-10 12:00:00.000000,0.23976608187134502,True
12345062,Netflix announces five new original series,entertainment,145,34,user62,https://example.com/62,2026-04-10 12:00:00.000000,0.2328767123287671,False
12345063,Video game releases new console gaming title,entertainment,165,39,user63,https://example.com/63,2026-04-10 12:00:00.000000,0.23493975903614459,True
12345064,Book author wins prestigious literary award,entertainment,135,31,user64,https://example.com/64,2026-04-10 12:00:00.000000,0.22794117647058823,False
12345065,Television show finale breaks viewer records,entertainment,185,46,user65,https://example.com/65,2026-04-10 12:00:00.000000,0.24731182795698925,True
12345066,Award ceremony shows top streaming performances,entertainment,160,38,user66,https://example.com/66,2026-04-10 12:00:00.000000,0.2360248447204969,False
12345067,Streaming platform releases exclusive concert special,entertainment,150,35,user67,https://example.com/67,2026-04-10 12:00:00.000000,0.23178807947019867,False
12345068,Show HN: Python library for web development,technology,125,26,user68,https://example.com/68,2026-04-10 12:00:00.000000,0.20634920634920634,False
12345069,Show HN: AI chatbot for customer support,technology,140,29,user69,https://example.com/69,2026-04-10 12:00:00.000000,0.20567375886524822,False
12345070,Show HN: Mobile app development framework new,technology,130,27,user70,https://example.com/70,2026-04-10 12:00:00.000000,0.20610687022900764,False
12345071,Show HN: Database query optimization tool,technology,115,23,user71,https://example.com/71,2026-04-10 12:00:00.000000,0.19827586206896552,False
12345072,Show HN: DevOps automation platform released,technology,145,33,user72,https://example.com/72,2026-04-10 12:00:00.000000,0.22602739726027396,False
12345073,Show HN: Linux kernel module for networking,technology,120,24,user73,https://example.com/73,2026-04-10 12:00:00.000000,0.19834710743801653,False
12345074,Show HN: Blockchain smart contract platform,technology,155,37,user74,https://example.com/74,2026-04-10 12:00:00.000000,0.23717948717948717,False
12345075,Show HN: Container orchestration system update,technology,135,29,user75,https://example.com/75,2026-04-10 12:00:00.000000,0.21323529411764705,False
12345076,Quantum computing advances make headlines,technology,260,64,user76,https://example.com/76,2026-04-10 12:00:00.000000,0.24521072796934865,True
12345077,Cybersecurity threat detection system improved,technology,175,43,user77,https://example.com/77,2026-04-10 12:00:00.000000,0.24431818181818182,True
12345078,Digital transformation initiative launched,technology,160,39,user78,https://example.com/78,2026-04-10 12:00:00.000000,0.2422360248447205,False
12345079,Show HN: Web framework for fast development,technology,145,34,user79,https://example.com/79,2026-04-10 12:00:00.000000,0.2328767123287671,False
12345080,Show HN: Machine learning model deployment tool,technology,155,37,user80,https://example.com/80,2026-04-10 12:00:00.000000,0.23717948717948717,False
40000,New AI Model Shows Promise - Part 1,technology,100,20,user_1,https://example.com/story-40000,2026-04-10 17:42:28.291404,0.19801980198019803,False
40001,Climate Summit Reaches Agreement - Part 2,worldnews,105,22,user_2,https://example.com/story-40001,2026-04-10 17:42:28.291404,0.20754716981132076,False
40002,Major League Playoffs Update - Part 3,sports,110,24,user_3,https://example.com/story-40002,2026-04-10 17:42:28.291404,0.21621621621621623,False
40003,Breakthrough in Quantum Computing - Part 4,science,115,26,user_4,https://example.com/story-40003,2026-04-10 17:42:28.291404,0.22413793103448276,False
40004,New Movie Releases This Week - Part 5,entertainment,120,28,user_5,https://example.com/story-40004,2026-04-10 17:42:28.291404,0.23140495867768596,False
40005,New AI Model Shows Promise - Part 6,technology,125,30,user_6,https://example.com/story-40005,2026-04-10 17:42:28.291404,0.23809523809523808,False
40006,Climate Summit Reaches Agreement - Part 7,worldnews,130,32,user_7,https://example.com/story-40006,2026-04-10 17:42:28.291404,0.24427480916030533,False
40007,Major League Playoffs Update - Part 8,sports,135,34,user_8,https://example.com/story-40007,2026-04-10 17:42:28.291404,0.25,False
40008,Breakthrough in Quantum Computing - Part 9,science,140,36,user_9,https://example.com/story-40008,2026-04-10 17:42:28.291404,0.2553191489361702,False
40009,New Movie Releases This Week - Part 10,entertainment,145,38,user_10,https://example.com/story-40009,2026-04-10 17:42:28.291404,0.2602739726027397,False
40010,New AI Model Shows Promise - Part 11,technology,150,40,user_11,https://example.com/story-40010,2026-04-10 17:42:28.291404,0.26490066225165565,False
40011,Climate Summit Reaches Agreement - Part 12,worldnews,155,42,user_12,https://example.com/story-40011,2026-04-10 17:42:28.291404,0.2692307692307692,False
40012,Major League Playoffs Update - Part 13,sports,160,44,user_13,https://example.com/story-40012,2026-04-10 17:42:28.291404,0.2732919254658385,False
40013,Breakthrough in Quantum Computing - Part 14,science,165,46,user_14,https://example.com/story-40013,2026-04-10 17:42:28.291404,0.27710843373493976,True
40014,New Movie Releases This Week - Part 15,entertainment,170,48,user_15,https://example.com/story-40014,2026-04-10 17:42:28.291404,0.2807017543859649,True
40015,New AI Model Shows Promise - Part 16,technology,175,50,user_16,https://example.com/story-40015,2026-04-10 17:42:28.291404,0.2840909090909091,True
40016,Climate Summit Reaches Agreement - Part 17,worldnews,180,52,user_17,https://example.com/story-40016,2026-04-10 17:42:28.291404,0.287292817679558,True
40017,Major League Playoffs Update - Part 18,sports,185,54,user_18,https://example.com/story-40017,2026-04-10 17:42:28.291404,0.2903225806451613,True
40018,Breakthrough in Quantum Computing - Part 19,science,190,56,user_19,https://example.com/story-40018,2026-04-10 17:42:28.291404,0.2931937172774869,True
40019,New Movie Releases This Week - Part 20,entertainment,195,58,user_20,https://example.com/story-40019,2026-04-10 17:42:28.291404,0.29591836734693877,True
40020,New AI Model Shows Promise - Part 21,technology,200,60,user_21,https://example.com/story-40020,2026-04-10 17:42:28.291404,0.29850746268656714,True
40021,Climate Summit Reaches Agreement - Part 22,worldnews,205,62,user_22,https://example.com/story-40021,2026-04-10 17:42:28.291404,0.30097087378640774,True
40022,Major League Playoffs Update - Part 23,sports,210,64,user_23,https://example.com/story-40022,2026-04-10 17:42:28.291404,0.3033175355450237,True
40023,Breakthrough in Quantum Computing - Part 24,science,215,66,user_24,https://example.com/story-40023,2026-04-10 17:42:28.291404,0.3055555555555556,True
40024,New Movie Releases This Week - Part 25,entertainment,220,68,user_25,https://example.com/story-40024,2026-04-10 17:42:28.291404,0.3076923076923077,True
